participation,income,education,age,youngkids,oldkids,foreign
0,10.787497,8,30,1,1,0
1,10.524251,8,45,0,1,0
0,10.968578,9,46,0,0,0
0,11.104999,11,31,2,0,0
0,11.10847,12,44,0,2,0
1,11.028254,12,42,0,1,0
0,11.454707,8,51,0,0,0
1,10.490918,8,32,0,2,0
0,10.62474,12,39,0,0,0
0,10.48642,11,43,0,2,0
0,10.660618,11,45,0,2,0
0,10.467589,12,60,0,0,0
0,11.229592,11,33,2,0,0
0,11.906462,14,56,0,0,0
0,11.501562,11,56,0,0,0
0,11.293492,11,47,0,1,0
0,10.861253,8,50,0,0,0
1,11.844049,12,39,0,0,0
0,11.048627,8,47,0,1,0
1,10.957795,11,53,0,0,0
0,10.860134,19,29,0,0,0
1,11.108121,11,46,0,1,0
0,10.84862,8,44,0,2,0
0,10.482397,12,20,1,0,0
1,10.48404,8,54,0,0,0
1,10.601204,8,47,0,0,0
0,10.540632,9,28,2,0,0
0,11.224276,8,47,0,1,0
1,10.841085,12,49,0,0,0
0,10.566288,11,30,0,1,0
0,11.769593,11,51,0,0,0
0,10.667089,11,28,0,2,0
0,10.624627,11,54,0,0,0
0,10.537148,8,49,0,0,0
0,11.135636,10,53,0,0,0
0,10.315332,8,55,0,0,0
0,10.372655,11,24,1,0,0
0,11.507138,8,50,0,1,0
1,11.156561,13,36,0,2,0
0,10.452933,9,23,1,0,0
1,11.106286,12,41,0,2,0
0,10.657185,10,23,0,1,0
0,10.518618,10,38,0,2,0
0,10.699437,12,53,0,0,0
0,9.6688738,12,45,0,1,0
0,10.922165,12,37,0,2,0
0,11.249361,15,36,2,0,0
0,10.051168,12,46,0,0,0
0,10.621104,10,31,1,1,0
1,10.644639,10,42,0,2,0
0,10.419983,10,22,1,0,0
1,10.466988,8,32,0,1,0
1,10.478207,9,34,0,2,0
1,10.435452,9,44,0,1,0
1,10.427258,12,58,0,0,0
1,10.471779,9,44,0,2,0
0,11.138516,9,55,0,0,0
0,10.31886,11,23,2,0,0
0,10.305638,15,60,0,0,0
0,10.864139,10,50,0,2,0
0,10.465655,9,59,0,0,0
0,10.2239,9,35,0,2,0
0,12.019113,13,61,0,0,0
1,11.411158,13,40,0,2,0
0,10.51476,11,24,1,0,0
1,10.493266,4,35,0,2,0
1,10.71857,10,31,1,1,0
0,11.33689,12,61,0,0,0
1,10.814724,10,55,0,1,0
0,10.316425,9,20,1,0,0
0,11.096651,15,31,1,0,0
1,10.47289,9,35,0,2,0
0,10.588166,8,55,0,0,0
0,11.584711,11,35,1,2,0
0,10.618983,17,44,0,4,0
1,10.517572,9,56,0,0,0
0,10.825584,10,34,0,2,0
1,10.909947,8,43,0,0,0
1,10.363575,12,24,0,0,0
1,9.6461477,8,54,0,0,0
0,10.157078,8,34,0,4,0
1,10.279822,7,52,0,2,0
0,10.571089,8,34,1,3,0
0,10.763515,9,21,2,0,0
1,10.540896,10,34,0,0,0
0,10.654575,9,22,1,0,0
0,10.852278,8,36,0,3,0
0,10.28561,10,32,1,3,0
0,11.338939,13,44,0,4,0
1,11.235833,12,49,0,2,0
0,10.471702,14,49,0,2,0
0,10.787214,10,45,0,3,0
0,10.599964,10,28,1,1,0
0,10.280773,8,36,0,3,0
0,10.840751,8,50,0,2,0
0,11.052507,8,48,0,5,0
0,10.65334,7,45,0,2,0
0,10.338464,7,62,0,0,0
0,10.708192,12,33,2,0,0
1,10.348194,8,48,0,0,0
1,11.021232,10,38,0,3,0
1,10.605906,7,46,0,1,0
1,10.649509,10,38,0,1,0
1,10.386903,7,56,0,0,0
1,10.741169,13,39,0,3,0
0,10.541059,10,28,2,0,0
0,11.081039,10,46,0,3,0
1,10.771101,10,27,0,0,0
0,12.285946,12,58,0,0,0
0,10.778364,12,27,2,0,0
0,10.669682,10,52,0,0,0
1,10.784824,9,31,0,3,0
1,11.269807,11,35,0,2,0
1,11.34666,12,34,0,1,0
1,10.825946,4,57,0,0,0
0,11.013918,10,44,0,2,0
0,9.5746346,7,56,0,1,0
1,10.528624,4,34,0,3,0
1,10.741468,16,27,1,0,0
0,10.75483,9,44,0,3,0
1,10.830751,12,33,2,0,0
0,10.490775,9,52,0,2,0
0,10.363387,8,26,1,0,0
0,10.812684,9,28,0,2,0
0,10.763303,8,46,2,1,0
1,10.700171,9,42,0,2,0
0,10.446508,6,24,1,0,0
1,10.449971,8,21,0,0,0
0,10.663366,4,58,0,0,0
1,10.925736,8,47,0,4,0
0,10.865444,8,37,0,2,0
1,11.41671,11,31,1,0,0
1,10.819836,8,57,0,0,0
1,10.963413,9,38,0,2,0
0,9.2639875,13,22,1,0,0
1,10.74062,8,40,0,2,0
0,11.329038,11,40,0,1,0
1,11.175732,9,35,0,2,0
0,11.1317,9,37,0,2,0
1,10.666515,12,54,0,0,0
0,11.086339,10,52,0,0,0
1,10.569454,11,31,0,2,0
0,11.03635,10,46,0,2,0
0,10.740618,6,44,1,1,0
0,10.620524,10,25,1,0,0
0,10.871253,9,27,1,0,0
1,10.664763,9,45,0,1,0
0,11.86487,15,31,0,2,0
1,10.639207,13,31,0,2,0
1,10.665111,14,34,0,2,0
1,10.937405,11,37,0,2,0
1,11.115698,8,51,0,0,0
0,10.392553,9,52,0,0,0
0,10.916087,8,34,0,2,0
1,10.530598,11,45,0,2,0
1,11.049862,14,26,1,0,0
0,10.961591,9,40,0,1,0
0,10.782629,10,44,0,2,0
0,10.893155,13,28,2,0,0
0,10.637464,8,41,1,3,0
0,10.804152,10,58,0,0,0
0,10.881099,10,35,0,1,0
0,11.995501,12,56,0,0,0
1,11.216231,13,40,0,4,0
0,10.510004,9,34,1,1,0
0,10.459609,14,29,1,1,0
1,10.763969,13,37,0,2,0
1,10.755772,12,26,0,0,0
0,10.689363,8,43,0,3,0
1,11.065612,9,38,0,3,0
1,10.693192,8,47,0,1,0
0,10.604953,8,53,0,3,0
0,10.401214,8,54,0,0,0
0,10.61778,11,39,2,0,0
1,10.833661,10,34,0,0,0
0,10.02621,8,54,0,1,0
0,10.746228,9,31,2,0,0
0,10.933002,8,35,0,4,0
1,10.84025,12,37,1,1,0
0,10.714731,8,40,0,2,0
0,10.612391,8,24,2,0,0
0,11.07683,12,33,1,0,0
1,11.128016,9,49,0,3,0
0,10.522886,12,30,0,2,0
0,10.659896,9,61,0,0,0
0,11.733083,13,32,2,1,0
0,10.91997,8,39,0,5,0
0,10.514121,8,40,0,2,0
0,11.069464,10,27,0,2,0
0,10.619196,9,20,1,0,0
0,10.562078,11,43,0,2,0
1,10.905702,13,32,1,1,0
0,10.95099,11,34,0,2,0
1,10.50612,8,46,0,2,0
0,11.047871,5,44,0,1,0
0,10.574165,8,36,0,3,0
1,11.193011,12,45,0,2,0
0,10.984266,12,33,1,0,0
0,11.334915,4,55,0,0,0
0,10.851937,12,36,0,2,0
1,10.404555,8,37,0,0,0
0,10.988086,11,39,0,2,0
0,10.864314,8,53,0,0,0
0,10.523238,9,22,1,0,0
0,10.820928,12,33,0,2,0
1,10.162354,10,40,0,0,0
0,11.198758,12,57,0,0,0
0,11.225668,10,29,1,2,0
1,10.893887,8,47,0,0,0
1,10.641333,10,41,0,0,0
0,10.850221,8,41,0,2,0
1,10.660521,12,31,0,0,0
0,11.349021,12,43,0,1,0
0,11.242483,8,51,0,1,0
1,11.159617,10,36,0,2,0
1,10.911874,10,39,0,1,0
1,10.507997,8,30,0,2,0
0,10.975945,21,30,2,0,0
0,10.368614,2,24,0,0,0
0,10.567141,8,49,0,1,0
0,10.445417,9,49,0,0,0
0,10.518592,8,30,0,2,0
1,10.700863,9,40,0,4,0
0,10.596668,6,44,0,0,0
0,11.197492,13,29,1,1,0
0,10.939767,13,28,1,0,0
1,10.557954,10,43,0,1,0
0,10.75464,10,29,2,2,0
1,10.464695,7,44,1,1,0
0,10.954447,12,42,0,3,0
1,10.800645,8,45,0,6,0
0,9.7744894,8,57,0,1,0
0,11.043071,8,51,0,0,0
1,10.949314,11,44,0,1,0
0,10.015288,7,55,0,2,0
0,11.499515,14,55,0,0,0
1,10.606732,10,48,0,1,0
0,10.647289,9,45,0,3,0
0,10.513616,11,54,0,0,0
0,11.226845,12,56,0,0,0
1,10.698781,13,33,2,0,0
0,10.873052,10,40,0,3,0
0,10.518034,7,54,0,2,0
0,10.398972,4,56,0,0,0
0,11.12097,9,40,0,2,0
1,10.160162,8,42,0,3,0
0,11.189876,14,50,0,1,0
1,10.580379,9,49,0,0,0
0,10.807338,8,58,0,0,0
1,9.7613668,8,58,0,0,0
0,10.67489,4,57,0,0,0
0,10.688645,4,54,0,0,0
0,10.185521,8,59,0,0,0
1,11.672285,18,51,0,1,0
0,10.795038,12,26,1,0,0
1,10.972098,10,43,0,2,0
0,10.556449,9,38,0,2,0
1,10.704404,8,39,0,2,0
1,10.428636,9,53,0,0,0
0,11.051191,10,38,0,1,0
1,10.851682,7,48,0,0,0
1,10.482903,9,41,0,0,0
0,10.788455,12,55,0,0,0
0,10.535781,13,30,1,0,0
1,10.131345,8,58,0,0,0
0,10.413317,8,28,2,0,0
1,10.550204,15,36,0,0,0
0,10.678824,4,50,0,1,0
0,10.845567,10,27,1,1,0
1,10.326767,8,55,0,0,0
0,10.756853,12,28,1,0,0
1,10.687163,8,45,0,2,0
1,10.69541,4,39,0,0,0
1,10.447811,9,30,0,1,0
1,11.010256,8,53,0,0,0
0,10.704237,10,23,2,0,0
0,10.913541,13,58,0,0,0
0,10.23621,9,44,0,1,0
0,11.76194,9,52,0,1,0
0,10.485152,12,24,1,0,0
1,11.147722,9,48,0,0,0
0,11.153504,11,38,0,2,0
0,10.645516,11,56,0,0,0
1,10.777797,8,50,0,0,0
1,10.986342,14,43,0,3,0
0,10.628565,10,28,0,2,0
0,10.916267,12,56,0,0,0
1,10.702699,12,36,0,2,0
0,10.952528,11,47,0,1,0
1,10.382414,11,37,0,0,0
0,10.698292,11,46,0,0,0
0,11.051727,9,57,0,0,0
0,10.656841,10,33,0,2,0
0,10.554549,8,47,0,2,0
0,11.692279,14,45,0,2,0
1,11.472848,13,42,0,3,0
0,11.656427,11,33,2,2,0
1,10.696645,12,45,0,2,0
1,10.839479,9,39,0,1,0
1,10.795194,10,33,0,3,0
1,10.379617,4,29,1,1,0
1,10.886384,13,44,0,2,0
0,11.363417,15,33,0,3,0
0,11.132031,11,26,1,0,0
1,10.899869,12,32,0,0,0
0,11.160232,12,29,1,2,0
1,10.058137,9,60,0,0,0
1,10.73593,11,39,0,2,0
1,9.6803951,9,47,0,0,0
0,11.150011,8,34,0,3,0
1,7.1869011,12,57,0,0,0
0,10.762847,12,33,0,2,0
0,10.641994,8,56,0,0,0
1,10.821105,9,55,0,0,0
0,11.697144,13,37,0,3,0
1,10.867016,8,54,0,0,0
1,11.597597,14,33,1,2,0
0,11.34655,4,52,0,1,0
1,10.440166,13,25,0,0,0
1,10.786756,8,47,0,1,0
0,10.693526,9,42,0,2,0
0,10.639603,12,31,0,2,0
0,10.391253,11,30,1,0,0
0,11.094102,4,58,0,0,0
1,9.9522972,15,57,0,0,0
0,10.881145,8,60,0,0,0
1,10.945509,11,44,0,1,0
0,10.723123,8,26,1,2,0
1,10.778036,12,59,0,0,0
0,10.410974,12,21,1,0,0
1,10.331526,9,50,0,0,0
0,11.038619,9,45,0,0,0
0,10.427884,8,44,0,1,0
0,9.9035082,8,24,1,0,0
0,10.415019,10,31,0,1,0
0,11.552967,7,47,0,1,0
0,10.726891,7,49,0,1,0
1,10.719912,3,45,0,4,0
1,10.635413,9,36,0,3,0
1,10.607927,8,43,0,1,0
1,10.89815,8,57,0,0,0
0,10.564245,10,28,0,1,0
0,11.0089,12,43,1,0,0
0,10.966264,11,57,0,1,0
0,11.094889,8,51,0,0,0
0,10.949635,12,27,1,0,0
0,11.142022,14,32,3,0,0
1,10.955511,12,38,0,1,0
0,9.9996185,11,61,0,0,0
1,10.883356,11,33,2,0,0
1,10.725962,11,44,0,0,0
0,10.379433,8,42,0,0,0
1,10.517781,8,59,0,0,0
0,10.960598,8,34,0,1,0
0,11.017487,13,26,1,1,0
0,10.630611,11,31,1,1,0
0,10.879928,9,41,0,1,0
0,10.556337,11,56,0,0,0
0,10.873372,12,36,0,2,0
0,10.974541,12,47,0,0,0
0,11.213668,12,38,0,3,0
0,10.565516,9,39,1,2,0
0,10.757045,8,52,0,1,0
1,10.218074,4,43,0,0,0
1,10.771807,11,49,0,0,0
0,10.645901,16,31,1,2,0
1,10.609652,11,38,0,2,0
0,10.497103,4,49,0,0,0
1,11.286425,11,36,0,2,0
1,10.713582,10,28,1,1,0
0,11.080241,12,31,2,0,0
1,10.765547,12,39,0,2,0
0,11.787341,14,38,0,2,0
0,11.404879,13,54,0,0,0
1,10.593832,12,45,0,1,0
1,10.56617,8,27,0,0,0
1,11.153773,9,43,0,0,0
0,10.644508,8,61,0,0,0
1,10.962912,15,30,1,1,0
1,10.952085,10,26,1,2,0
1,11.006509,12,51,0,0,0
0,10.50368,9,59,0,0,0
0,10.522554,14,58,0,0,0
1,10.443773,11,31,0,0,0
0,10.363842,4,59,0,0,0
0,10.868344,9,41,0,1,0
0,10.708355,10,25,1,0,0
1,10.959935,11,45,0,4,0
0,10.545824,12,23,0,0,0
1,10.635506,10,42,0,2,0
0,10.674844,8,33,0,2,0
0,10.600635,8,46,0,1,0
0,10.261245,4,30,2,0,0
1,10.618609,10,36,0,4,0
1,10.084304,12,25,0,0,0
1,11.232703,12,41,0,2,0
1,10.614631,10,21,0,0,0
1,10.891872,12,38,0,0,0
0,10.987128,9,34,0,3,0
1,10.901279,8,55,0,0,0
0,10.996947,11,43,0,2,0
0,10.573843,8,59,0,0,0
1,10.530697,12,38,0,2,0
1,10.750773,9,43,0,0,0
1,10.303822,8,22,0,0,0
1,11.071775,11,36,0,2,0
1,10.933235,9,28,0,1,0
0,10.765986,9,30,1,1,0
1,10.808117,11,51,0,0,0
1,11.130052,9,44,0,0,0
1,10.139643,11,20,0,0,0
1,10.446164,12,47,0,0,0
1,10.497118,7,41,0,0,0
0,10.502569,8,42,0,2,0
0,10.813208,10,31,0,0,0
1,10.819643,4,61,0,0,0
0,10.965238,8,37,0,2,0
0,10.94079,12,38,0,2,0
0,10.698575,12,28,1,1,0
0,10.557849,12,20,1,0,0
0,10.869824,8,51,0,0,0
1,10.486398,9,21,0,0,0
0,10.651588,12,22,1,0,0
1,10.741222,9,26,0,0,0
0,10.63413,9,57,0,0,0
1,10.576883,9,34,0,2,0
0,11.29929,12,28,0,0,0
1,10.480109,10,32,2,0,0
0,10.453177,14,21,1,0,0
1,10.471801,9,38,0,1,0
0,9.743722,4,61,0,0,0
0,10.639916,9,43,0,0,0
0,10.621275,12,28,3,1,0
